,Modified,Initial,Winsorization,Linear Approximation,Correlation
203,371.1,371.1,371.1,371.1,371.1
204,374.0,374.0,374.0,374.0,374.0
205,0.0,374.0,374.0,371.71000000000004,376.92851060313046
206,0.0,370.89,374.0,369.42,375.5285106031305
207,367.13,367.13,367.13,367.13,367.13
208,0.0,364.4,367.13,365.50333333333333,370.85851060313047
209,0.0,361.83,367.13,363.87666666666667,367.2285106031304
210,362.25,362.25,362.25,362.25,362.25
211,0.0,362.4,362.25,362.79499999999996,368.07851060313044
212,363.34,363.34,363.34,363.34,363.34
213,0.0,362.85,363.34,361.94,369.73851060313046
214,360.54,360.54,360.54,360.54,360.54
215,357.57,357.57,357.57,357.57,357.57
216,355.15,355.15,355.15,355.15,355.15
217,355.29,355.29,355.29,355.29,355.29
218,361.99,361.99,361.99,361.99,361.99
219,0.0,362.0,361.99,360.94,369.92851060313046
220,359.89,359.89,359.89,359.89,359.89
221,352.0,352.0,352.0,352.0,352.0
222,355.0,355.0,355.0,355.0,355.0
223,0.0,354.28,355.0,354.15999999999997,367.16851060313047
224,353.32,353.32,353.32,353.32,353.32
225,346.74,346.74,346.74,346.74,346.74
226,349.57,349.57,349.57,349.57,349.57
227,0.0,341.5,349.57,345.06,359.60851060313047
228,340.55,340.55,340.55,340.55,340.55
229,0.0,340.45,340.55,343.93,360.95851060313043
230,0.0,344.7,340.55,347.31,361.7685106031305
231,350.69,350.69,350.69,350.69,350.69
232,351.41,351.41,351.41,351.41,351.41
233,347.5,347.5,347.5,347.5,347.5
234,0.0,347.49,347.5,346.93333333333334,360.50851060313045
235,0.0,347.98,347.5,346.3666666666667,360.5185106031305
236,345.8,345.8,345.8,345.8,345.8
237,344.96,344.96,344.96,344.96,344.96
238,0.0,345.67,344.96,344.135,360.16851060313047
239,343.31,343.31,343.31,343.31,343.31
240,342.75,342.75,342.75,342.75,342.75
241,0.0,338.55,342.75,340.025,354.7785106031304
242,337.3,337.3,337.3,337.3,337.3
243,343.72,343.72,343.72,343.72,343.72
244,0.0,353.54,343.72,348.41333333333336,364.0285106031305
245,0.0,357.28,343.72,353.1066666666667,367.10851060313047
246,357.8,357.8,357.8,357.8,357.8
247,356.98,356.98,356.98,356.98,356.98
248,0.0,352.52,356.98,355.71000000000004,361.4685106031304
249,354.44,354.44,354.44,354.44,354.44
250,349.69,349.69,349.69,349.69,349.69
251,0.0,360.12,349.69,349.4319999999999,366.0385106031305
252,0.0,360.0,349.69,349.1739999999999,366.0285106031305
253,0.0,344.93,349.69,348.91599999999994,360.2285106031304
254,0.0,343.94,349.69,348.65799999999996,359.7285106031304
255,348.4,348.4,348.4,348.4,348.4
256,355.34,355.34,355.34,355.34,355.34
257,354.97,354.97,354.97,354.97,354.97
258,354.01,354.01,354.01,354.01,354.01
259,0.0,347.68,354.01,351.65250000000003,360.5285106031305
260,0.0,345.2,354.01,349.295,359.32851060313044
261,0.0,342.75,354.01,346.9375,357.98851060313046
262,344.58,344.58,344.58,344.58,344.58
263,0.0,355.49,344.58,347.01199999999994,366.32851060313044
264,0.0,355.49,344.58,349.44399999999996,366.42851060313046
265,0.0,357.07,344.58,351.876,365.9785106031304
266,0.0,362.0,344.58,354.308,369.04851060313047
267,356.74,356.74,356.74,356.74,356.74
268,354.05,354.05,354.05,354.05,354.05
269,0.0,358.83,354.05,356.8166666666667,366.68851060313045
270,0.0,358.54,354.05,359.58333333333337,366.41851060313047
271,362.35,362.35,362.35,362.35,362.35
272,357.3,357.3,357.3,357.3,357.3
273,0.0,337.2,357.3,345.315,351.82851060313044
274,333.33,333.33,333.33,333.33,333.33
275,0.0,335.5,333.33,334.81,347.7285106031304
276,336.29,336.29,336.29,336.29,336.29
277,334.45,334.45,334.45,334.45,334.45
278,0.0,328.48,334.45,331.94,344.7885106031305
279,329.43,329.43,329.43,329.43,329.43
280,335.34,335.34,335.34,335.34,335.34
281,348.84,348.84,348.84,348.84,348.84
282,348.85,348.85,348.85,348.85,348.85
283,349.65,349.65,349.65,349.65,349.65
284,344.63,344.63,344.63,344.63,344.63
285,357.83,357.83,357.83,357.83,357.83
286,0.0,354.29,357.83,360.615,345.99851060313046
287,363.4,363.4,363.4,363.4,363.4
288,363.7,363.7,363.7,363.7,363.7
289,360.9,360.9,360.9,360.9,360.9
290,369.42,369.42,369.42,369.42,369.42
291,359.41,359.41,359.41,359.41,359.41
292,348.0,348.0,348.0,348.0,348.0
293,0.0,339.6,348.0,344.31,336.43851060313045
294,340.62,340.62,340.62,340.62,340.62
295,321.25,321.25,321.25,321.25,321.25
296,328.42,328.42,328.42,328.42,328.42
297,339.49,339.49,339.49,339.49,339.49
298,339.53,339.53,339.53,339.53,339.53
299,324.14,324.14,324.14,324.14,324.14
300,322.99,322.99,322.99,322.99,322.99
