<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.V,D,20201231,0,218.3100000,219.8000000,216.2100000,218.6800000,189841
SPBEX.V,D,20210104,0,221.0000000,221.0000000,214.2500000,217.7800000,255235
SPBEX.V,D,20210105,0,217.7600000,218.4500000,213.6500000,214.5400000,218017
SPBEX.V,D,20210106,0,214.5900000,216.1200000,210.9400000,212.6100000,239782
SPBEX.V,D,20210107,0,212.6200000,215.3900000,211.8000000,213.6900000,207115
SPBEX.V,D,20210108,0,213.6700000,216.1200000,212.8300000,215.3800000,193568
SPBEX.V,D,20210109,0,215.3700000,215.8200000,215.0800000,215.5000000,2944
SPBEX.V,D,20210111,0,214.0000000,215.2200000,212.5100000,212.8700000,180989
SPBEX.V,D,20210112,0,212.8900000,214.1300000,207.4900000,208.8500000,246089
SPBEX.V,D,20210113,0,208.8600000,211.7000000,207.0400000,209.3800000,213028
SPBEX.V,D,20210114,0,209.3500000,211.2100000,201.7400000,201.8300000,374760
SPBEX.V,D,20210115,0,202.0600000,203.9900000,200.4600000,201.5700000,322513
SPBEX.V,D,20210116,0,201.7100000,202.4000000,201.0000000,201.5300000,6784
SPBEX.V,D,20210119,0,203.0900000,204.1200000,200.0700000,201.6700000,314448
SPBEX.V,D,20210120,0,201.6600000,207.1800000,201.2100000,205.9700000,368887
SPBEX.V,D,20210121,0,206.1200000,207.4900000,204.7000000,205.2000000,226724
SPBEX.V,D,20210122,0,205.1400000,206.2000000,201.8400000,201.8600000,289993
SPBEX.V,D,20210123,0,202.0000000,202.7000000,201.9000000,202.5000000,3733
SPBEX.V,D,20210125,0,203.8000000,204.0200000,195.7500000,200.9700000,534144
SPBEX.V,D,20210126,0,200.9800000,203.4900000,200.1100000,202.0100000,335613
SPBEX.V,D,20210127,0,201.9900000,203.5200000,193.9700000,195.1700000,504025
SPBEX.V,D,20210128,0,195.2400000,202.0000000,193.7400000,198.5000000,409861
SPBEX.V,D,20210129,0,198.2500000,202.9700000,192.8700000,193.2600000,529827
SPBEX.V,D,20210130,0,194.0500000,197.5500000,193.2500000,194.0200000,15287
SPBEX.V,D,20210201,0,194.9900000,199.2100000,194.0000000,198.2900000,359502
SPBEX.V,D,20210202,0,198.3900000,204.3600000,197.6400000,202.6100000,338125
SPBEX.V,D,20210203,0,202.5400000,204.4900000,200.9900000,201.3800000,246493
SPBEX.V,D,20210204,0,201.3500000,209.6700000,200.9300000,209.1500000,383500
SPBEX.V,D,20210205,0,209.0500000,210.1000000,207.8900000,208.7200000,291252
