<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.MA,D,20210108,0,349.8600000,354.8900000,349.1500000,353.8800000,74382
SPBEX.MA,D,20210109,0,354.5000000,354.9600000,353.7600000,353.7600000,555
SPBEX.MA,D,20210111,0,352.1900000,353.3400000,347.8400000,348.1500000,69128
SPBEX.MA,D,20210112,0,348.2000000,350.8000000,336.0900000,342.7700000,132051
SPBEX.MA,D,20210113,0,342.8400000,349.7500000,341.9400000,346.2300000,118102
SPBEX.MA,D,20210114,0,346.3300000,349.5700000,326.7600000,327.2900000,239028
SPBEX.MA,D,20210115,0,327.7000000,330.8500000,322.0000000,323.0200000,269647
SPBEX.MA,D,20210116,0,323.3400000,326.0000000,322.5100000,324.9900000,3251
SPBEX.MA,D,20210119,0,326.5900000,329.0000000,324.6200000,326.0900000,136784
SPBEX.MA,D,20210120,0,327.0300000,337.8800000,325.5200000,334.9000000,172579
SPBEX.MA,D,20210121,0,334.8800000,337.0000000,331.6900000,334.4700000,113182
SPBEX.MA,D,20210122,0,334.4400000,335.1800000,328.9500000,329.0600000,123153
SPBEX.MA,D,20210123,0,328.8600000,330.2200000,328.3000000,329.7000000,2119
SPBEX.MA,D,20210125,0,332.9800000,336.6900000,317.3600000,329.3300000,228383
SPBEX.MA,D,20210126,0,329.0000000,330.9000000,325.8000000,327.6600000,108288
SPBEX.MA,D,20210127,0,328.5400000,329.0000000,313.1400000,316.6100000,273292
SPBEX.MA,D,20210128,0,315.8400000,329.0000000,311.6900000,324.2600000,282811
SPBEX.MA,D,20210129,0,325.0000000,326.6500000,312.3400000,316.4300000,230400
SPBEX.MA,D,20210130,0,316.5100000,316.7500000,315.5100000,315.5100000,1944
SPBEX.MA,D,20210201,0,310.1700000,323.4200000,310.1700000,321.4100000,156041
SPBEX.MA,D,20210202,0,321.5500000,336.1600000,320.0600000,334.3500000,202771
SPBEX.MA,D,20210203,0,333.3300000,336.5200000,331.1500000,333.0600000,117740
SPBEX.MA,D,20210204,0,332.9500000,343.2700000,331.3100000,340.7500000,144955
SPBEX.MA,D,20210205,0,340.0500000,344.3400000,337.4000000,338.7800000,131868
SPBEX.MA,D,20210206,0,337.4500000,339.9000000,337.4500000,339.0000000,773
SPBEX.MA,D,20210208,0,339.5700000,341.4200000,335.5600000,337.0100000,99846
SPBEX.MA,D,20210209,0,337.2900000,338.0000000,330.0000000,333.5600000,154474
SPBEX.MA,D,20210210,0,333.5600000,335.4700000,332.2600000,334.3900000,160509
SPBEX.MA,D,20210211,0,334.2100000,349.5700000,333.0500000,342.9000000,195736
SPBEX.MA,D,20210212,0,343.1300000,343.9000000,336.6800000,340.8900000,113286
SPBEX.MA,D,20210213,0,340.7800000,341.9000000,340.2500000,341.7400000,627
SPBEX.MA,D,20210216,0,343.0000000,343.8400000,338.0700000,341.1100000,106913
SPBEX.MA,D,20210217,0,340.9400000,341.9900000,335.7900000,337.2700000,93459
SPBEX.MA,D,20210218,0,337.4000000,339.9600000,332.9200000,338.3900000,82871
SPBEX.MA,D,20210219,0,338.3700000,341.0000000,331.0200000,333.3200000,127062
SPBEX.MA,D,20210220,0,333.3400000,334.2500000,331.1100000,332.9000000,1507
SPBEX.MA,D,20210222,0,332.1400000,344.0900000,327.5400000,340.5800000,146198
SPBEX.MA,D,20210223,0,341.2100000,354.2700000,331.0100000,350.2100000,223834
SPBEX.MA,D,20210224,0,350.9300000,368.7900000,343.4000000,367.2700000,230387
SPBEX.MA,D,20210225,0,366.0000000,368.9000000,352.1600000,354.6000000,192706
SPBEX.MA,D,20210226,0,354.6200000,359.4000000,347.2900000,354.3200000,156024
SPBEX.MA,D,20210227,0,353.5800000,356.3600000,353.0500000,354.2500000,572
SPBEX.MA,D,20210301,0,356.0200000,366.4300000,356.0200000,362.9400000,158780
SPBEX.MA,D,20210302,0,362.6400000,366.6100000,357.6000000,362.6900000,217129
SPBEX.MA,D,20210303,0,362.9500000,365.5000000,355.5900000,359.9600000,134021
SPBEX.MA,D,20210304,0,360.3100000,361.5900000,344.7400000,349.1200000,171061
SPBEX.MA,D,20210305,0,349.7300000,358.9700000,343.4100000,355.6400000,117187
SPBEX.MA,D,20210308,0,360.4900000,382.3500000,354.8000000,371.3400000,238174
SPBEX.MA,D,20210309,0,371.5700000,387.6300000,370.0100000,376.1400000,175833
SPBEX.MA,D,20210310,0,376.1800000,383.8800000,373.2100000,381.7000000,169654
SPBEX.MA,D,20210311,0,381.3600000,389.4800000,381.3600000,384.1600000,142557
SPBEX.MA,D,20210312,0,384.0900000,385.6800000,377.4200000,382.9100000,105625
SPBEX.MA,D,20210313,0,382.5700000,383.0000000,380.9000000,382.5000000,426
SPBEX.MA,D,20210315,0,384.3300000,387.8200000,378.6600000,382.0200000,102945
SPBEX.MA,D,20210316,0,383.0000000,385.2400000,378.7200000,382.3800000,135521
SPBEX.MA,D,20210317,0,382.6000000,385.0400000,375.8400000,378.9800000,100325
SPBEX.MA,D,20210318,0,378.9800000,380.2700000,365.0100000,367.5500000,213439
SPBEX.MA,D,20210319,0,367.3800000,369.2000000,350.3900000,358.5500000,255829
SPBEX.MA,D,20210320,0,358.5300000,359.4500000,358.0000000,358.5000000,261
SPBEX.MA,D,20210322,0,357.3700000,361.6400000,354.1200000,358.5800000,112466
SPBEX.MA,D,20210323,0,358.6400000,359.5500000,353.4800000,355.9100000,125819
SPBEX.MA,D,20210324,0,355.9200000,364.9800000,355.3700000,359.0000000,118018
SPBEX.MA,D,20210325,0,359.1000000,362.6800000,354.2100000,358.3600000,97863
SPBEX.MA,D,20210326,0,358.5000000,366.6000000,357.3400000,365.5200000,95578
SPBEX.MA,D,20210327,0,365.1200000,365.8500000,364.3800000,365.7000000,77
SPBEX.MA,D,20210329,0,361.0200000,366.7700000,358.6300000,363.2200000,103310
SPBEX.MA,D,20210330,0,363.2100000,364.8100000,357.1500000,358.0000000,106041
SPBEX.MA,D,20210331,0,358.7300000,363.1100000,348.0000000,356.3300000,126227
SPBEX.MA,D,20210401,0,357.2100000,363.4600000,355.4400000,363.0500000,149044
SPBEX.MA,D,20210402,0,363.4500000,363.4800000,363.1500000,363.4500000,25
SPBEX.MA,D,20210405,0,366.9900000,370.4900000,362.0100000,368.3700000,80640
SPBEX.MA,D,20210406,0,368.4500000,370.7500000,362.4800000,369.9800000,111382
SPBEX.MA,D,20210407,0,369.9900000,373.9400000,367.4100000,371.5000000,100025
SPBEX.MA,D,20210408,0,371.4900000,379.2400000,370.0000000,378.5900000,113477
SPBEX.MA,D,20210409,0,378.6000000,380.3500000,374.4900000,379.8300000,75747
SPBEX.MA,D,20210410,0,379.2000000,381.1300000,379.1800000,379.9700000,164
SPBEX.MA,D,20210412,0,376.0200000,380.9400000,376.0200000,380.6600000,99660
SPBEX.MA,D,20210413,0,378.9300000,381.0000000,376.8400000,379.0000000,84188
SPBEX.MA,D,20210414,0,378.0000000,380.9500000,375.2400000,379.4900000,84195
SPBEX.MA,D,20210415,0,378.3400000,387.3400000,377.0100000,385.5000000,110461
SPBEX.MA,D,20210416,0,385.5000000,389.1000000,383.0100000,385.4900000,81119
SPBEX.MA,D,20210417,0,384.6500000,386.4600000,384.6500000,386.4600000,72
SPBEX.MA,D,20210419,0,374.7300000,387.6500000,363.5000000,382.9000000,334576
SPBEX.MA,D,20210420,0,382.1600000,385.9700000,373.5500000,376.2600000,403521
SPBEX.MA,D,20210421,0,375.7500000,384.0800000,373.0600000,380.4200000,285301
SPBEX.MA,D,20210422,0,380.5700000,389.5000000,380.5700000,383.2800000,414466
SPBEX.MA,D,20210423,0,384.3500000,389.8800000,382.1500000,386.6000000,263736
SPBEX.MA,D,20210424,0,387.0500000,387.0500000,386.5500000,386.5500000,235
SPBEX.MA,D,20210426,0,385.0600000,392.9400000,385.0600000,388.9900000,259644
SPBEX.MA,D,20210427,0,387.2300000,394.3700000,385.7500000,393.5500000,237396
SPBEX.MA,D,20210428,0,393.5500000,401.4400000,389.7800000,397.7800000,599835
SPBEX.MA,D,20210429,0,397.7900000,404.0000000,383.8100000,388.4600000,590671
SPBEX.MA,D,20210430,0,388.8500000,390.0000000,375.6000000,383.5900000,502489
SPBEX.MA,D,20210501,0,382.8500000,382.8500000,381.4100000,382.0500000,67
SPBEX.MA,D,20210503,0,381.0100000,386.9100000,376.8200000,379.7200000,462097
SPBEX.MA,D,20210504,0,378.5200000,380.9900000,371.6500000,375.2000000,463584
SPBEX.MA,D,20210505,0,375.9100000,379.6000000,368.0300000,369.3700000,410370
SPBEX.MA,D,20210506,0,369.4100000,376.4800000,365.6800000,376.4800000,622242
SPBEX.MA,D,20210507,0,375.4000000,378.9700000,373.5600000,375.4800000,420482
SPBEX.MA,D,20210508,0,375.4800000,375.4800000,375.0000000,375.1000000,12
SPBEX.MA,D,20210510,0,375.0100000,379.9700000,365.4400000,366.1000000,454338
SPBEX.MA,D,20210511,0,365.6500000,369.7500000,359.3000000,367.5900000,425554
