mastercard,visa,at&t,amazon,alibaba
363.7500000,227.4600000,29.5700000,3271.9000000,211.9000000
363.0400000,227.0300000,29.7600000,3242.7400000,213.1200000
360.8000000,227.4000000,29.4900000,3224.6500000,213.9900000
360.9500000,227.8000000,29.4700000,3225.1000000,214.0000000
361.4000000,226.8500000,29.3500000,3218.5000000,219.9000000
367.8600000,229.4000000,29.5600000,3230.7500000,219.7700000
362.7600000,228.4200000,29.2600000,3185.6500000,216.8600000
366.1000000,230.2000000,29.2900000,3205.2000000,219.0000000
365.4600000,230.4400000,29.2800000,3205.0300000,219.1500000
364.6100000,231.2600000,29.1100000,3199.1000000,216.9300000
365.9900000,232.3000000,28.9700000,3265.5000000,215.8500000
364.6500000,232.3000000,29.0300000,3278.0000000,213.5500000
364.8400000,233.7400000,29.2500000,3350.2000000,213.3600000
365.6000000,234.9900000,29.2800000,3344.7600000,211.6300000
365.8100000,234.9900000,29.2600000,3343.9500000,211.7500000
366.6600000,233.9700000,29.0700000,3382.7500000,214.0700000
367.6100000,232.7500000,29.2300000,3380.1100000,210.1800000
363.4500000,229.3000000,29.0500000,3408.0000000,209.6000000
367.2000000,232.2700000,28.8000000,3490.2100000,211.6500000
366.7100000,230.2800000,28.6300000,3482.0000000,212.0100000
366.0500000,230.3300000,28.6200000,3483.0100000,212.6300000
373.0900000,234.3200000,28.9000000,3452.2700000,211.3800000
378.1900000,235.4600000,28.8400000,3507.0000000,211.4600000
375.0300000,234.5200000,28.6700000,3504.0000000,215.0300000
374.2300000,236.4500000,28.7900000,3447.2500000,218.5500000
379.6500000,237.9900000,28.9000000,3400.4400000,228.5000000
379.6400000,237.5000000,28.9200000,3400.8000000,228.3000000
368.6800000,234.5600000,28.8100000,3442.5300000,228.3700000
368.6900000,235.8700000,28.6900000,3448.5000000,229.1800000
365.5000000,233.8500000,28.8200000,3438.0000000,226.6200000
370.0100000,234.7000000,29.1300000,3430.0000000,222.0000000
375.0700000,238.3500000,29.2200000,3510.0100000,217.6700000
374.9700000,238.6800000,29.2300000,3508.5800000,217.5500000
375.1300000,239.3500000,29.1200000,3671.0500000,211.7100000
373.2600000,240.3900000,28.9500000,3697.9800000,208.2500000
369.9900000,236.7000000,28.1800000,3727.0000000,200.1800000
373.0200000,238.4700000,28.3500000,3716.7800000,206.1700000
373.1900000,238.4700000,28.4100000,3716.2500000,206.2100000
375.3800000,238.0000000,28.5000000,3714.7600000,205.5700000
383.6000000,242.3500000,28.2400000,3678.2100000,209.6500000
390.2100000,245.8700000,28.2700000,3684.7200000,211.6400000
388.0000000,248.5800000,28.4400000,3628.8000000,214.9900000
386.7000000,247.6300000,28.3600000,3569.9000000,211.5900000
386.3500000,248.3000000,28.3300000,3570.5100000,211.5800000
365.9200000,240.9800000,27.8500000,3555.5300000,208.9000000
374.1000000,242.9400000,27.9400000,3571.0700000,210.6600000
380.3900000,243.8600000,27.9800000,3585.0000000,211.4400000
382.2000000,244.1300000,27.9700000,3648.4000000,214.2100000
391.7100000,249.0200000,28.1200000,3655.9500000,206.0900000
393.1100000,249.0000000,28.1000000,3650.5000000,206.0100000
392.6000000,250.2200000,28.1600000,3693.0000000,191.9000000
389.0000000,248.0600000,28.1800000,3616.9000000,185.5700000
382.2400000,247.1800000,28.0200000,3620.6000000,195.9000000
389.3600000,247.3100000,28.2300000,3352.8200000,195.0900000
386.1900000,246.5200000,28.0900000,3328.8400000,196.1000000
386.6000000,246.7900000,28.1500000,3329.8800000,196.4900000
375.6000000,240.2400000,28.1100000,3330.9400000,200.4000000
366.9900000,237.0600000,28.1700000,3366.2400000,197.3800000
367.9000000,236.5700000,27.8700000,3354.2000000,200.4200000
371.1000000,240.3000000,27.9200000,3374.3200000,199.2800000
374.0000000,241.4500000,28.0200000,3340.6200000,196.6300000
374.0000000,241.4000000,28.0000000,3341.9400000,196.5400000
370.8900000,240.0000000,27.8800000,3339.8000000,195.2300000
367.1300000,237.8200000,28.0200000,3319.2400000,195.3100000
364.4000000,235.3300000,28.1400000,3291.8800000,195.0100000
361.8300000,231.7000000,28.0200000,3303.5000000,191.7600000
362.2500000,232.3500000,28.1800000,3288.9800000,187.7200000
362.4000000,232.5500000,28.1900000,3289.9900000,187.6700000
363.3400000,235.0000000,28.1900000,3297.6200000,182.6500000
362.8500000,234.2100000,28.0800000,3238.0000000,173.6600000
360.5400000,231.3100000,27.8500000,3202.9700000,172.2200000
357.5700000,231.5400000,27.5000000,3190.5000000,160.6000000
355.1500000,231.5900000,27.6000000,3199.8400000,158.0500000
355.2900000,232.0000000,27.5900000,3203.0000000,158.0900000
361.9900000,234.5900000,27.5400000,3269.1000000,161.9400000
362.0000000,234.4000000,27.4900000,3305.6200000,172.1200000
359.8900000,232.6500000,27.4800000,3298.1200000,168.6900000
352.0000000,230.1200000,27.0700000,3316.1300000,165.1200000
355.0000000,231.5800000,27.1500000,3350.0000000,159.3700000
354.2800000,231.6400000,27.1500000,3350.0600000,159.4300000
353.3200000,231.2000000,27.2400000,3417.8000000,162.0700000
346.7400000,229.5000000,27.4400000,3472.1800000,167.3600000
349.5700000,230.1200000,27.1800000,3476.5000000,173.1800000
341.5000000,224.0800000,27.6700000,3456.1200000,171.9500000
340.5500000,225.0100000,27.5400000,3481.2900000,170.5500000
340.4500000,225.4300000,27.5400000,3473.5800000,170.7000000
344.7000000,226.2400000,27.4400000,3508.0000000,175.0900000
350.6900000,229.0900000,27.5800000,3523.0100000,170.4400000
351.4100000,227.4600000,27.4900000,3482.1300000,167.7500000
347.5000000,225.0500000,27.2100000,3466.9700000,168.4500000
347.4900000,224.9800000,27.2100000,3462.8100000,168.1000000
347.9800000,224.9900000,27.5400000,3462.5100000,165.7500000
345.8000000,223.1000000,27.3800000,3449.0200000,160.2700000
344.9600000,223.9000000,27.5200000,3475.7900000,158.3900000
345.6700000,224.6400000,27.6000000,3487.0000000,156.3000000
343.3100000,221.3800000,27.5000000,3458.4200000,159.9600000
342.7500000,221.2000000,27.5300000,3457.0000000,159.9600000
338.5500000,219.2500000,27.2300000,3354.2000000,151.4400000
337.3000000,220.1500000,27.0000000,3336.1100000,149.8800000
343.7200000,222.7800000,27.0300000,3379.0900000,152.0600000
353.5400000,228.5000000,27.2200000,3413.0000000,151.0000000
357.2800000,231.5800000,27.1500000,3424.8000000,145.0000000
357.8000000,231.6000000,27.1300000,3425.5200000,145.0900000
356.9800000,229.4000000,27.4000000,3401.2400000,150.2100000
352.5200000,225.9400000,27.3400000,3317.5000000,152.2900000
354.4400000,226.8700000,27.4000000,3307.6800000,147.7900000
349.6900000,223.3100000,27.0700000,3285.0000000,147.9100000
360.1200000,230.5100000,27.2700000,3281.0000000,144.1600000
360.0000000,230.5000000,27.2400000,3282.0000000,144.1100000
344.9300000,224.7000000,27.3200000,3193.0000000,139.8100000
343.9400000,224.2000000,27.4100000,3224.0000000,143.0500000
348.4000000,226.5000000,27.2500000,3264.0000000,144.2900000
355.3400000,230.1300000,27.1000000,3301.5500000,156.2200000
354.9700000,230.0000000,26.8000000,3288.7500000,161.8900000
354.0100000,230.0200000,26.8000000,3288.1000000,162.1100000
347.6800000,225.0000000,26.0900000,3245.2600000,163.7200000
345.2000000,223.8000000,25.4000000,3241.1100000,162.8900000
342.7500000,222.4600000,25.3900000,3286.1400000,167.7500000
344.5800000,225.2100000,25.6900000,3305.2300000,167.3000000
355.4900000,230.8000000,25.7000000,3409.2500000,167.9500000
355.4900000,230.9000000,25.7100000,3408.4300000,167.8700000
357.0700000,230.4500000,25.3400000,3444.5000000,167.1000000
362.0000000,233.5200000,25.5800000,3443.5000000,176.9600000
356.7400000,231.0200000,25.9400000,3408.5000000,177.1700000
354.0500000,229.7500000,25.7800000,3416.2200000,177.0000000
358.8300000,231.1600000,25.5200000,3335.0000000,177.4900000
358.5400000,230.8900000,25.5200000,3334.1900000,177.6400000
362.3500000,234.5300000,25.6000000,3335.4900000,176.3400000
357.3000000,232.7500000,25.3800000,3371.7000000,169.8700000
337.2000000,216.3000000,25.1000000,3392.9000000,169.1300000
333.3300000,210.1200000,25.5700000,3313.6700000,168.7500000
335.5000000,212.2000000,25.2600000,3373.4500000,165.0000000
336.2900000,212.0000000,25.2600000,3381.6000000,165.0600000
334.4500000,212.5500000,25.3900000,3315.5800000,171.0000000
328.4800000,209.2600000,25.2300000,3310.5000000,163.4100000
329.4300000,208.4400000,25.2100000,3380.0000000,166.4500000
335.3400000,208.8800000,24.8300000,3472.4600000,165.2000000
348.8400000,216.7400000,25.0900000,3515.5000000,158.8000000
348.8500000,216.9000000,25.1500000,3512.0000000,158.3400000
349.6500000,220.3500000,24.8800000,3488.0000000,162.0500000
344.6300000,213.3100000,24.7000000,3576.7100000,160.0900000
357.8300000,215.6900000,24.9700000,3484.6900000,163.9700000
354.2900000,210.4700000,24.9000000,3471.0000000,167.8800000
363.4000000,212.0000000,24.9400000,3527.8900000,166.8500000
363.7000000,212.5000000,25.0000000,3525.0000000,167.0300000
360.9000000,212.3000000,24.7900000,3546.8900000,166.5500000
369.4200000,215.2100000,24.6600000,3538.2800000,168.3800000
359.4100000,205.0900000,24.6700000,3549.5000000,161.6500000
348.0000000,203.3000000,24.4000000,3696.3600000,143.8600000
339.6000000,200.9100000,24.1400000,3676.0000000,140.3300000
340.6200000,201.1400000,24.1400000,3674.6500000,140.1000000
321.2500000,195.6000000,24.7100000,3572.8300000,136.6400000
328.4200000,198.5000000,24.7600000,3580.6100000,133.6100000
339.4900000,203.1700000,24.4800000,3579.8500000,136.5400000
339.5300000,203.2500000,24.5400000,3580.0000000,137.1000000
324.1400000,197.5000000,24.2500000,3505.1000000,133.1000000
