<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.AMZN,D,20210320,0,3072.2800000,3072.3000000,3063.5000000,3067.0000000,843
SPBEX.AMZN,D,20210322,0,3068.3100000,3126.6400000,3061.0000000,3107.0000000,300134
SPBEX.AMZN,D,20210323,0,3109.0000000,3182.6000000,3095.0000000,3140.2400000,123199
SPBEX.AMZN,D,20210324,0,3138.2700000,3170.0000000,3084.1200000,3086.8400000,114110
SPBEX.AMZN,D,20210325,0,3086.8400000,3109.9700000,3037.3200000,3054.8500000,348399
SPBEX.AMZN,D,20210326,0,3054.8500000,3075.9600000,2996.0100000,3051.0200000,401047
SPBEX.AMZN,D,20210327,0,3051.0000000,3054.0000000,3049.0000000,3053.4000000,1866
SPBEX.AMZN,D,20210329,0,3050.0000000,3090.9900000,3017.0500000,3075.2800000,299893
SPBEX.AMZN,D,20210330,0,3075.3200000,3080.6400000,3034.0500000,3054.1500000,242693
SPBEX.AMZN,D,20210331,0,3054.8900000,3119.1900000,3049.9100000,3092.0000000,455540
SPBEX.AMZN,D,20210401,0,3092.0200000,3162.2300000,3088.0000000,3159.0400000,244792
SPBEX.AMZN,D,20210402,0,3159.8600000,3162.4800000,3158.1000000,3161.5200000,636
SPBEX.AMZN,D,20210405,0,3163.1700000,3235.4500000,3141.5100000,3230.0000000,337868
SPBEX.AMZN,D,20210406,0,3230.5100000,3247.2600000,3170.6300000,3229.7700000,237724
SPBEX.AMZN,D,20210407,0,3229.7700000,3303.7900000,3216.0000000,3283.0000000,230438
SPBEX.AMZN,D,20210408,0,3284.9900000,3324.1100000,3284.4400000,3307.0000000,100718
SPBEX.AMZN,D,20210409,0,3307.0000000,3372.2000000,3285.0200000,3369.0000000,317958
SPBEX.AMZN,D,20210410,0,3368.6400000,3370.4000000,3366.0000000,3367.8800000,1571
SPBEX.AMZN,D,20210412,0,3355.5500000,3405.0000000,3351.0000000,3396.0000000,119285
SPBEX.AMZN,D,20210413,0,3395.3200000,3431.9900000,3380.0000000,3399.6800000,272483
SPBEX.AMZN,D,20210414,0,3399.5500000,3413.0000000,3234.0000000,3335.9700000,103451
SPBEX.AMZN,D,20210415,0,3335.0900000,3396.2000000,3334.7500000,3374.0000000,390485
SPBEX.AMZN,D,20210416,0,3375.6200000,3406.6000000,3355.6000000,3395.6600000,112222
SPBEX.AMZN,D,20210417,0,3395.2700000,3398.9800000,3395.2700000,3397.5100000,547
SPBEX.AMZN,D,20210419,0,3109.0900000,3436.1000000,3105.2500000,3370.3900000,694087
SPBEX.AMZN,D,20210420,0,3371.9700000,3389.9600000,3303.3300000,3314.9800000,702700
SPBEX.AMZN,D,20210421,0,3315.2000000,3362.8600000,3302.0000000,3357.7300000,659298
SPBEX.AMZN,D,20210422,0,3358.5000000,3376.8200000,3301.4400000,3310.7000000,701599
SPBEX.AMZN,D,20210423,0,3310.6900000,3374.9900000,3305.0200000,3340.2500000,892983
SPBEX.AMZN,D,20210424,0,3340.7800000,3343.0000000,3338.8800000,3343.0000000,1620
SPBEX.AMZN,D,20210426,0,3345.0100000,3428.8800000,3330.8500000,3420.1000000,1046890
SPBEX.AMZN,D,20210427,0,3420.9000000,3460.0200000,3398.0000000,3424.8200000,986067
SPBEX.AMZN,D,20210428,0,3424.8500000,3489.9500000,3407.1600000,3484.3900000,1064162
SPBEX.AMZN,D,20210429,0,3484.2200000,3661.0000000,3435.1600000,3596.9900000,1742367
SPBEX.AMZN,D,20210430,0,3596.3900000,3605.0000000,3462.5500000,3467.9900000,1837599
SPBEX.AMZN,D,20210501,0,3468.0000000,3469.0000000,3465.0000000,3465.9400000,1162
SPBEX.AMZN,D,20210503,0,3450.8400000,3495.0000000,3372.2700000,3386.1800000,1376601
SPBEX.AMZN,D,20210504,0,3385.2500000,3394.4100000,3272.0200000,3308.0000000,1531880
SPBEX.AMZN,D,20210505,0,3309.9200000,3356.0000000,3264.6300000,3269.6500000,1068669
SPBEX.AMZN,D,20210506,0,3269.5000000,3314.4700000,3246.3100000,3306.3700000,1301623
SPBEX.AMZN,D,20210507,0,3307.4100000,3362.0000000,3289.0000000,3289.9000000,1256210
SPBEX.AMZN,D,20210508,0,3289.8900000,3290.0000000,3289.0100000,3289.3000000,628
SPBEX.AMZN,D,20210510,0,3299.0000000,3330.0000000,3182.7500000,3184.0000000,1202821
SPBEX.AMZN,D,20210511,0,3183.8800000,3238.1700000,3117.1300000,3217.1800000,1043572
SPBEX.AMZN,D,20210512,0,3217.0000000,3220.0000000,3133.3300000,3150.0000000,1043548
SPBEX.AMZN,D,20210513,0,3150.0000000,3203.0000000,3133.1000000,3157.5000000,754529
SPBEX.AMZN,D,20210514,0,3157.0200000,3228.8700000,3156.2600000,3224.0300000,916621
SPBEX.AMZN,D,20210515,0,3223.7500000,3225.9000000,3223.7500000,3225.0100000,522
SPBEX.AMZN,D,20210517,0,3247.9500000,3292.1500000,3209.0000000,3274.7700000,813422
SPBEX.AMZN,D,20210518,0,3270.5000000,3311.5300000,3226.1200000,3227.4700000,698275
SPBEX.AMZN,D,20210519,0,3227.4700000,3240.0000000,3183.8000000,3231.0000000,788377
SPBEX.AMZN,D,20210520,0,3231.0000000,3259.8200000,3220.0000000,3247.9900000,749494
SPBEX.AMZN,D,20210521,0,3247.2000000,3262.9800000,3196.9900000,3199.8000000,1188421
SPBEX.AMZN,D,20210522,0,3200.0000000,3202.9800000,3199.0200000,3201.9500000,1080
SPBEX.AMZN,D,20210524,0,3190.0100000,3257.9200000,3190.0100000,3247.9600000,717500
SPBEX.AMZN,D,20210525,0,3246.5400000,3279.5000000,3213.7700000,3259.9000000,895264
SPBEX.AMZN,D,20210526,0,3259.3000000,3295.9200000,3254.0000000,3271.9000000,713945
SPBEX.AMZN,D,20210527,0,3270.0200000,3282.5000000,3230.0400000,3242.7400000,985710
SPBEX.AMZN,D,20210528,0,3243.9900000,3252.9100000,3219.4200000,3224.6500000,818117
SPBEX.AMZN,D,20210529,0,3225.0000000,3226.8000000,3223.4400000,3225.1000000,828
SPBEX.AMZN,D,20210601,0,3245.0000000,3251.0000000,3209.2800000,3218.5000000,667505
SPBEX.AMZN,D,20210602,0,3217.9400000,3236.9700000,3207.5600000,3230.7500000,671434
SPBEX.AMZN,D,20210603,0,3230.7500000,3249.0000000,3184.0100000,3185.6500000,703785
SPBEX.AMZN,D,20210604,0,3185.6500000,3221.3000000,3151.0000000,3205.2000000,679755
SPBEX.AMZN,D,20210605,0,3205.2000000,3206.9900000,3204.8800000,3205.0300000,512
SPBEX.AMZN,D,20210607,0,3178.6300000,3210.6400000,3172.4400000,3199.1000000,659372
SPBEX.AMZN,D,20210608,0,3199.1200000,3279.3700000,3190.0000000,3265.5000000,852596
SPBEX.AMZN,D,20210609,0,3265.2400000,3297.5000000,3257.0100000,3278.0000000,695523
SPBEX.AMZN,D,20210610,0,3279.0000000,3352.0000000,3265.0000000,3350.2000000,10686
SPBEX.AMZN,D,20210611,0,3350.2700000,3366.6600000,3333.3500000,3344.7600000,803648
SPBEX.AMZN,D,20210612,0,3345.2900000,3345.4400000,3343.2700000,3343.9500000,234
SPBEX.AMZN,D,20210614,0,3349.0000000,3384.9400000,3335.8000000,3382.7500000,750009
SPBEX.AMZN,D,20210615,0,3382.0000000,3396.7800000,3363.1100000,3380.1100000,647601
SPBEX.AMZN,D,20210616,0,3380.0800000,3426.5000000,3361.7700000,3408.0000000,1079169
SPBEX.AMZN,D,20210617,0,3407.8800000,3497.2700000,3388.0000000,3490.2100000,1269581
SPBEX.AMZN,D,20210618,0,3490.0000000,3507.2400000,3462.6200000,3482.0000000,1750032
SPBEX.AMZN,D,20210619,0,3482.7500000,3484.2000000,3479.1500000,3483.0100000,5698
SPBEX.AMZN,D,20210621,0,3471.0000000,3497.1100000,3434.0000000,3452.2700000,735812
SPBEX.AMZN,D,20210622,0,3452.1200000,3523.7500000,3432.1700000,3507.0000000,813900
SPBEX.AMZN,D,20210623,0,3506.5000000,3528.0000000,3483.0000000,3504.0000000,721909
SPBEX.AMZN,D,20210624,0,3504.6000000,3524.6900000,3430.7700000,3447.2500000,1021573
SPBEX.AMZN,D,20210625,0,3447.3100000,3472.0000000,3394.7200000,3400.4400000,1204070
SPBEX.AMZN,D,20210626,0,3400.4400000,3401.5000000,3399.4900000,3400.8000000,689
SPBEX.AMZN,D,20210628,0,3410.9800000,3448.0000000,3405.9800000,3442.5300000,648403
SPBEX.AMZN,D,20210629,0,3442.5300000,3456.4100000,3420.8500000,3448.5000000,492977
SPBEX.AMZN,D,20210630,0,3448.5000000,3471.7800000,3430.4500000,3438.0000000,646170
SPBEX.AMZN,D,20210701,0,3437.9700000,3464.3300000,3409.4500000,3430.0000000,549257
SPBEX.AMZN,D,20210702,0,3430.5200000,3511.8900000,3412.0300000,3510.0100000,836975
SPBEX.AMZN,D,20210703,0,3509.9000000,3510.2000000,3508.5800000,3508.5800000,1329
SPBEX.AMZN,D,20210706,0,3480.0100000,3686.0000000,3480.0100000,3671.0500000,1576050
SPBEX.AMZN,D,20210707,0,3672.4500000,3734.3800000,3660.1700000,3697.9800000,1231196
SPBEX.AMZN,D,20210708,0,3698.0000000,3759.5700000,3578.0000000,3727.0000000,1237655
SPBEX.AMZN,D,20210709,0,3727.0000000,3755.1500000,3693.3600000,3716.7800000,1019423
SPBEX.AMZN,D,20210710,0,3717.0000000,3717.6000000,3716.0000000,3716.2500000,511
SPBEX.AMZN,D,20210712,0,3739.2600000,3757.0000000,3696.4400000,3714.7600000,720198
SPBEX.AMZN,D,20210713,0,3715.0000000,3773.0200000,3671.5700000,3678.2100000,890078
SPBEX.AMZN,D,20210714,0,3679.4400000,3718.0100000,3661.0000000,3684.7200000,858047
SPBEX.AMZN,D,20210715,0,3683.3600000,3713.5900000,3620.6600000,3628.8000000,813225
SPBEX.AMZN,D,20210716,0,3628.7600000,3660.0000000,3569.6300000,3569.9000000,1098616
SPBEX.AMZN,D,20210717,0,3569.9000000,3572.9900000,3569.8800000,3570.5100000,492
SPBEX.AMZN,D,20210719,0,3575.0000000,3587.7300000,3501.0000000,3555.5300000,957472
SPBEX.AMZN,D,20210720,0,3557.6400000,3594.9900000,3517.8100000,3571.0700000,946118
SPBEX.AMZN,D,20210721,0,3572.7200000,3590.9000000,3543.3500000,3585.0000000,688240
SPBEX.AMZN,D,20210722,0,3585.8900000,3649.0000000,3572.0600000,3648.4000000,635662
SPBEX.AMZN,D,20210723,0,3647.5000000,3666.2000000,3622.0000000,3655.9500000,716091
SPBEX.AMZN,D,20210724,0,3653.1000000,3654.8000000,3649.1100000,3650.5000000,1910
SPBEX.AMZN,D,20210726,0,3662.9900000,3711.8400000,3644.0000000,3693.0000000,864744
SPBEX.AMZN,D,20210727,0,3693.0500000,3704.0000000,3586.1500000,3616.9000000,1119036
SPBEX.AMZN,D,20210728,0,3617.7900000,3658.1000000,3602.5600000,3620.6000000,580129
SPBEX.AMZN,D,20210729,0,3620.9500000,3647.9300000,3338.0000000,3352.8200000,1332903
SPBEX.AMZN,D,20210730,0,3351.3800000,3399.0000000,3306.9800000,3328.8400000,2787393
SPBEX.AMZN,D,20210731,0,3328.3000000,3334.0000000,3327.5000000,3329.8800000,2918
SPBEX.AMZN,D,20210802,0,3360.9000000,3369.2900000,3316.9000000,3330.9400000,888704
SPBEX.AMZN,D,20210803,0,3330.0500000,3390.7500000,3298.7300000,3366.2400000,1042298
SPBEX.AMZN,D,20210804,0,3367.5600000,3388.7400000,3345.5000000,3354.2000000,596962
SPBEX.AMZN,D,20210805,0,3354.1100000,3389.0400000,3340.6700000,3374.3200000,694532
SPBEX.AMZN,D,20210806,0,3375.1100000,3389.0000000,3329.3700000,3340.6200000,780166
SPBEX.AMZN,D,20210807,0,3342.2000000,3343.9000000,3339.3000000,3341.9400000,189
SPBEX.AMZN,D,20210809,0,3341.0000000,3354.3700000,3328.5700000,3339.8000000,601382
SPBEX.AMZN,D,20210810,0,3338.9000000,3358.0000000,3315.0000000,3319.2400000,594320
SPBEX.AMZN,D,20210811,0,3319.2600000,3337.5000000,3277.5200000,3291.8800000,809010
SPBEX.AMZN,D,20210812,0,3291.7800000,3314.5200000,3269.3600000,3303.5000000,631724
SPBEX.AMZN,D,20210813,0,3303.4900000,3328.2800000,3283.2400000,3288.9800000,558612
SPBEX.AMZN,D,20210814,0,3289.0600000,3290.0000000,3287.5600000,3289.9900000,226
SPBEX.AMZN,D,20210816,0,3309.9900000,3309.9900000,3211.6900000,3297.6200000,907326
SPBEX.AMZN,D,20210817,0,3297.8800000,3299.9000000,3225.3500000,3238.0000000,940995
SPBEX.AMZN,D,20210818,0,3238.0000000,3258.6400000,3199.0000000,3202.9700000,752221
SPBEX.AMZN,D,20210819,0,3202.9700000,3233.2400000,3161.0000000,3190.5000000,848481
SPBEX.AMZN,D,20210820,0,3189.3500000,3208.0000000,3175.7700000,3199.8400000,895344
SPBEX.AMZN,D,20210821,0,3199.9500000,3203.9900000,3197.0000000,3203.0000000,2021
SPBEX.AMZN,D,20210823,0,3203.0000000,3280.5400000,3200.0000000,3269.1000000,996206
SPBEX.AMZN,D,20210824,0,3269.0300000,3315.7500000,3269.0000000,3305.6200000,658537
SPBEX.AMZN,D,20210825,0,3305.4800000,3320.7700000,3285.7300000,3298.1200000,474452
SPBEX.AMZN,D,20210826,0,3299.0000000,3332.0200000,3252.0000000,3316.1300000,523668
SPBEX.AMZN,D,20210827,0,3317.5000000,3352.5900000,3313.0000000,3350.0000000,704488
SPBEX.AMZN,D,20210828,0,3349.7700000,3351.2100000,3349.6000000,3350.0600000,650
SPBEX.AMZN,D,20210830,0,3350.0000000,3445.0000000,3350.0000000,3417.8000000,835983
SPBEX.AMZN,D,20210831,0,3417.7600000,3474.5800000,3396.0800000,3472.1800000,1812752
SPBEX.AMZN,D,20210901,0,3472.1800000,3526.2900000,3435.8800000,3476.5000000,988249
SPBEX.AMZN,D,20210902,0,3476.5000000,3511.9200000,3453.1200000,3456.1200000,761584
SPBEX.AMZN,D,20210903,0,3456.9000000,3488.6500000,3436.3600000,3481.2900000,731477
SPBEX.AMZN,D,20210904,0,3481.0000000,3481.1100000,3470.5600000,3473.5800000,6744
SPBEX.AMZN,D,20210907,0,3477.0100000,3528.0900000,3463.7800000,3508.0000000,784670
SPBEX.AMZN,D,20210908,0,3507.0600000,3545.3500000,3490.8700000,3523.0100000,820472
SPBEX.AMZN,D,20210909,0,3523.0100000,3549.7900000,3480.0000000,3482.1300000,671887
SPBEX.AMZN,D,20210910,0,3483.9900000,3508.3000000,3462.8600000,3466.9700000,720976
SPBEX.AMZN,D,20210911,0,3466.9700000,3467.7000000,3462.2100000,3462.8100000,824
SPBEX.AMZN,D,20210913,0,3460.0000000,3498.1500000,3421.2600000,3462.5100000,688357
SPBEX.AMZN,D,20210914,0,3462.1200000,3487.0600000,3437.6100000,3449.0200000,590534
SPBEX.AMZN,D,20210915,0,3450.0000000,3486.0000000,3402.0800000,3475.7900000,870535
SPBEX.AMZN,D,20210916,0,3475.8700000,3492.6100000,3445.6100000,3487.0000000,766964
SPBEX.AMZN,D,20210917,0,3485.5600000,3502.0000000,3452.2700000,3458.4200000,1954335
SPBEX.AMZN,D,20210918,0,3457.9000000,3458.8900000,3456.3000000,3457.0000000,218
SPBEX.AMZN,D,20210920,0,3457.0000000,3457.0000000,3304.8800000,3354.2000000,1397231
SPBEX.AMZN,D,20210921,0,3355.6700000,3422.0000000,3332.2000000,3336.1100000,730737
SPBEX.AMZN,D,20210922,0,3337.3800000,3389.0000000,3335.0100000,3379.0900000,666594
SPBEX.AMZN,D,20210923,0,3381.0000000,3428.6800000,3379.9800000,3413.0000000,651518
SPBEX.AMZN,D,20210924,0,3413.0000000,3428.7700000,3391.5000000,3424.8000000,4951
SPBEX.AMZN,D,20210925,0,3424.8500000,3426.5000000,3423.6000000,3425.5200000,34
SPBEX.AMZN,D,20210927,0,3429.0000000,3440.6500000,3339.0000000,3401.2400000,4356
SPBEX.AMZN,D,20210928,0,3399.4600000,3402.8900000,3290.5000000,3317.5000000,9649
SPBEX.AMZN,D,20210929,0,3318.5000000,3355.0000000,3297.4100000,3307.6800000,3127
SPBEX.AMZN,D,20210930,0,3306.7000000,3333.5000000,3273.3000000,3285.0000000,3134
SPBEX.AMZN,D,20211001,0,3284.5000000,3310.0000000,3252.3100000,3281.0000000,3852
SPBEX.AMZN,D,20211002,0,3281.0100000,3282.4000000,3281.0000000,3282.0000000,25
SPBEX.AMZN,D,20211004,0,3282.0000000,3284.0100000,3176.1000000,3193.0000000,12475
SPBEX.AMZN,D,20211005,0,3192.7500000,3260.0000000,3191.3000000,3224.0000000,10950
SPBEX.AMZN,D,20211006,0,3223.5000000,3265.0000000,3169.1300000,3264.0000000,14903
SPBEX.AMZN,D,20211007,0,3264.2000000,3325.0000000,3262.6000000,3301.5500000,8714
SPBEX.AMZN,D,20211008,0,3301.5000000,3323.4700000,3286.2700000,3288.7500000,3236
SPBEX.AMZN,D,20211009,0,3289.9800000,3290.5900000,3288.1000000,3288.1000000,24
SPBEX.AMZN,D,20211011,0,3319.0000000,3319.0000000,3238.0300000,3245.2600000,6206
SPBEX.AMZN,D,20211012,0,3242.0100000,3267.0000000,3210.3000000,3241.1100000,7997
SPBEX.AMZN,D,20211013,0,3241.4700000,3288.0000000,3238.9800000,3286.1400000,3147
SPBEX.AMZN,D,20211014,0,3286.0000000,3321.4900000,3283.4500000,3305.2300000,3928
SPBEX.AMZN,D,20211015,0,3304.9800000,3411.7000000,3303.0200000,3409.2500000,14158
SPBEX.AMZN,D,20211016,0,3409.5000000,3409.5000000,3404.4500000,3408.4300000,179
SPBEX.AMZN,D,20211018,0,3380.3100000,3448.4600000,3380.3100000,3444.5000000,4698
SPBEX.AMZN,D,20211019,0,3445.4000000,3456.0000000,3422.0000000,3443.5000000,4707
SPBEX.AMZN,D,20211020,0,3444.0000000,3460.0000000,3400.6600000,3408.5000000,3093
SPBEX.AMZN,D,20211021,0,3409.0100000,3441.0500000,3401.9600000,3416.2200000,2634
SPBEX.AMZN,D,20211022,0,3415.5100000,3437.4900000,3331.8000000,3335.0000000,4262
SPBEX.AMZN,D,20211023,0,3335.0000000,3335.2300000,3334.0300000,3334.1900000,53
SPBEX.AMZN,D,20211025,0,3352.0000000,3357.9400000,3298.4400000,3335.4900000,5332
SPBEX.AMZN,D,20211026,0,3337.9900000,3415.8200000,3327.1600000,3371.7000000,6062
SPBEX.AMZN,D,20211027,0,3371.7000000,3436.6200000,3363.1900000,3392.9000000,5318
SPBEX.AMZN,D,20211028,0,3392.3000000,3478.7400000,3255.2200000,3313.6700000,27439
SPBEX.AMZN,D,20211029,0,3314.5000000,3374.9000000,3274.0000000,3373.4500000,16644
SPBEX.AMZN,D,20211030,0,3374.0000000,3382.0000000,3373.7200000,3381.6000000,263
