MAS,VIS
336.7700000,210.5100000
338.7700000,211.1500000
340.2200000,210.2000000
334.8900000,207.9900000
344.2100000,212.6500000
344.0000000,212.3000000
341.0400000,212.6500000
340.7000000,212.8100000
336.5700000,209.5700000
331.3900000,207.5400000
327.5100000,206.2400000
327.0000000,206.3600000
331.1200000,207.2400000
333.3300000,208.3200000
332.1100000,208.1800000
336.8300000,211.1900000
339.4700000,211.3700000
341.0000000,211.9000000
334.4400000,209.0800000
332.3700000,205.7400000
329.0300000,205.2300000
335.5000000,208.5100000
344.5800000,212.5000000
346.6500000,214.2900000
355.4500000,218.3300000
356.6600000,218.6800000
351.5500000,217.7800000
347.5900000,214.5400000
347.5600000,212.6100000
349.9300000,213.6900000
353.8800000,215.3800000
353.7600000,215.5000000
348.1500000,212.8700000
342.7700000,208.8500000
346.2300000,209.3800000
327.2900000,201.8300000
323.0200000,201.5700000
324.9900000,201.5300000
326.0900000,201.6700000
334.9000000,205.9700000
334.4700000,205.2000000
329.0600000,201.8600000
329.7000000,202.5000000
329.3300000,200.9700000
327.6600000,202.0100000
316.6100000,195.1700000
324.2600000,198.5000000
316.4300000,193.2600000
315.5100000,194.0200000
321.4100000,198.2900000
334.3500000,202.6100000
333.0600000,201.3800000
340.7500000,209.1500000
338.7800000,208.7200000
339.0000000,209.2500000
337.0100000,206.8100000
333.5600000,206.4800000
334.3900000,206.4500000
342.9000000,210.6900000
340.8900000,209.8900000
341.7400000,210.0000000
341.1100000,207.6800000
337.2700000,207.5200000
338.3900000,209.4000000
333.3200000,204.8800000
332.9000000,204.7800000
340.5800000,208.3100000
350.2100000,212.1400000
367.2700000,219.5700000
354.6000000,213.8100000
354.3200000,212.4100000
354.2500000,212.4200000
362.9400000,216.6600000
362.6900000,215.8300000
359.9600000,214.8600000
349.1200000,211.6200000
355.6400000,213.5600000
371.3400000,220.2700000
376.1400000,220.2500000
381.7000000,223.1700000
384.1600000,226.1700000
382.9100000,224.2600000
382.5000000,224.3500000
382.0200000,222.9400000
382.3800000,225.0000000
378.9800000,223.0100000
367.5500000,220.6600000
358.5500000,207.1000000
358.5000000,207.3400000
358.5800000,208.4600000
355.9100000,208.3000000
359.0000000,208.1900000
358.3600000,208.4900000
365.5200000,213.0600000
365.7000000,213.2200000
363.2200000,214.6500000
358.0000000,211.9000000
356.3300000,212.1800000
363.0500000,217.1400000
363.4500000,216.9100000
368.3700000,219.0200000
369.9800000,218.5900000
371.5000000,219.5000000
378.5900000,221.1000000
379.8300000,221.8000000
379.9700000,222.1600000
380.6600000,221.5600000
379.0000000,221.0300000
379.4900000,222.2800000
385.5000000,226.1400000
385.4900000,226.4100000
386.4600000,226.0000000
382.9000000,226.0000000
376.2600000,223.2800000
380.4200000,227.2400000
383.2800000,228.3000000
386.6000000,230.1400000
386.5500000,230.1800000
388.9900000,230.3000000
393.5500000,235.0000000
397.7800000,233.3300000
388.4600000,236.6000000
383.5900000,234.1900000
382.0500000,233.8700000
379.7200000,232.2800000
375.2000000,232.0300000
369.3700000,229.2500000
376.4800000,231.2200000
375.4800000,232.3000000
375.1000000,232.3000000
366.1000000,225.8800000
367.5900000,225.7400000
356.2700000,220.2900000
358.1000000,223.8100000
364.7600000,227.5000000
364.0200000,227.0000000
364.0000000,226.4100000
362.0000000,225.2100000
360.7400000,224.2100000
367.5200000,226.4100000
367.8400000,226.4200000
367.7200000,226.7000000
372.9900000,229.4500000
367.4800000,229.2200000
363.7500000,227.4600000
363.0400000,227.0300000
360.8000000,227.4000000
360.9500000,227.8000000
361.4000000,226.8500000
367.8600000,229.4000000
362.7600000,228.4200000
366.1000000,230.2000000
365.4600000,230.4400000
364.6100000,231.2600000
365.9900000,232.3000000
364.6500000,232.3000000
364.8400000,233.7400000
365.6000000,234.9900000
365.8100000,234.9900000
366.6600000,233.9700000
367.6100000,232.7500000
363.4500000,229.3000000
367.2000000,232.2700000
366.7100000,230.2800000
366.0500000,230.3300000
373.0900000,234.3200000
378.1900000,235.4600000
375.0300000,234.5200000
374.2300000,236.4500000
379.6500000,237.9900000
379.6400000,237.5000000
368.6800000,234.5600000
368.6900000,235.8700000
365.5000000,233.8500000
370.0100000,234.7000000
375.0700000,238.3500000
374.9700000,238.6800000
375.1300000,239.3500000
373.2600000,240.3900000
369.9900000,236.7000000
373.0200000,238.4700000
373.1900000,238.4700000
375.3800000,238.0000000
383.6000000,242.3500000
390.2100000,245.8700000
388.0000000,248.5800000
386.7000000,247.6300000
386.3500000,248.3000000
365.9200000,240.9800000
374.1000000,242.9400000
380.3900000,243.8600000
382.2000000,244.1300000
391.7100000,249.0200000
393.1100000,249.0000000
392.6000000,250.2200000
389.0000000,248.0600000
382.2400000,247.1800000
389.3600000,247.3100000
386.1900000,246.5200000
386.6000000,246.7900000
375.6000000,240.2400000
366.9900000,237.0600000
367.9000000,236.5700000
371.1000000,240.3000000
374.0000000,241.4500000
374.0000000,241.4000000
370.8900000,240.0000000
367.1300000,237.8200000
364.4000000,235.3300000
361.8300000,231.7000000
362.2500000,232.3500000
362.4000000,232.5500000
363.3400000,235.0000000
362.8500000,234.2100000
360.5400000,231.3100000
357.5700000,231.5400000
355.1500000,231.5900000
355.2900000,232.0000000
361.9900000,234.5900000
362.0000000,234.4000000
359.8900000,232.6500000
352.0000000,230.1200000
355.0000000,231.5800000
354.2800000,231.6400000
353.3200000,231.2000000
346.7400000,229.5000000
349.5700000,230.1200000
341.5000000,224.0800000
340.5500000,225.0100000
340.4500000,225.4300000
344.7000000,226.2400000
350.6900000,229.0900000
351.4100000,227.4600000
347.5000000,225.0500000
347.4900000,224.9800000
347.9800000,224.9900000
345.8000000,223.1000000
344.9600000,223.9000000
345.6700000,224.6400000
343.3100000,221.3800000
342.7500000,221.2000000
338.5500000,219.2500000
337.3000000,220.1500000
343.7200000,222.7800000
353.5400000,228.5000000
357.2800000,231.5800000
357.8000000,231.6000000
356.9800000,229.4000000
352.5200000,225.9400000
354.4400000,226.8700000
349.6900000,223.3100000
360.1200000,230.5100000
360.0000000,230.5000000
344.9300000,224.7000000
343.9400000,224.2000000
348.4000000,226.5000000
355.3400000,230.1300000
354.9700000,230.0000000
354.0100000,230.0200000
347.6800000,225.0000000
345.2000000,223.8000000
342.7500000,222.4600000
344.5800000,225.2100000
355.4900000,230.8000000
355.4900000,230.9000000
357.0700000,230.4500000
362.0000000,233.5200000
356.7400000,231.0200000
354.0500000,229.7500000
358.8300000,231.1600000
358.5400000,230.8900000
362.3500000,234.5300000
357.3000000,232.7500000
337.2000000,216.3000000
333.3300000,210.1200000
335.5000000,212.2000000
336.2900000,212.0000000
334.4500000,212.5500000
328.4800000,209.2600000
